Date,cum_net
2020-01-02,1.0
2020-01-03,1.0
2020-01-06,1.0
2020-01-07,1.0
2020-01-08,1.0
2020-01-09,1.0
2020-01-10,1.0
2020-01-13,1.0
2020-01-14,1.0
2020-01-15,1.0
2020-01-16,1.0
2020-01-17,1.0
2020-01-21,1.0
2020-01-22,1.0
2020-01-23,1.0
2020-01-24,1.0
2020-01-27,1.0
2020-01-28,1.0
2020-01-29,1.0
2020-01-30,1.0
2020-01-31,1.0
2020-02-03,1.0
2020-02-04,1.0
2020-02-05,1.0
2020-02-06,1.0
2020-02-07,1.0
2020-02-10,1.0
2020-02-11,1.0
2020-02-12,1.0
2020-02-13,1.0
2020-02-14,1.0
2020-02-18,1.0
2020-02-19,1.0
2020-02-20,1.0
2020-02-21,1.0
2020-02-24,1.0
2020-02-25,1.0
2020-02-26,1.0
2020-02-27,1.0
2020-02-28,1.0
2020-03-02,1.0
2020-03-03,1.0
2020-03-04,1.0
2020-03-05,1.0
2020-03-06,1.0
2020-03-09,1.0
2020-03-10,1.0
2020-03-11,1.0
2020-03-12,1.0
2020-03-13,1.0
2020-03-16,1.0
2020-03-17,1.0
2020-03-18,1.0
2020-03-19,1.0
2020-03-20,1.0
2020-03-23,1.0
2020-03-24,1.0
2020-03-25,1.0
2020-03-26,1.0
2020-03-27,1.0
2020-03-30,1.0
2020-03-31,1.0
2020-04-01,1.0
2020-04-02,1.0
2020-04-03,1.0
2020-04-06,1.0
2020-04-07,1.0
2020-04-08,1.0
2020-04-09,1.0
2020-04-13,1.0
2020-04-14,1.0
2020-04-15,1.0
2020-04-16,1.0
2020-04-17,1.0
2020-04-20,1.0
2020-04-21,1.0
2020-04-22,1.0
2020-04-23,1.0
2020-04-24,1.0
2020-04-27,1.0
2020-04-28,1.0
2020-04-29,1.0
2020-04-30,1.0
2020-05-01,1.0
2020-05-04,1.0
2020-05-05,1.0
2020-05-06,1.0
2020-05-07,1.0
2020-05-08,1.0
2020-05-11,1.0
2020-05-12,1.0
2020-05-13,1.0
2020-05-14,1.0
2020-05-15,1.0
2020-05-18,1.0
2020-05-19,1.0
2020-05-20,1.0
2020-05-21,1.0
2020-05-22,1.0
2020-05-26,1.0
2020-05-27,1.0
2020-05-28,1.0
2020-05-29,1.0
2020-06-01,1.0
2020-06-02,1.0
2020-06-03,1.0
2020-06-04,1.0
2020-06-05,1.0
2020-06-08,1.0
2020-06-09,1.0
2020-06-10,1.0
2020-06-11,1.0
2020-06-12,1.0
2020-06-15,1.0
2020-06-16,1.0
2020-06-17,1.0
2020-06-18,1.0
2020-06-19,1.0
2020-06-22,1.0
2020-06-23,1.0
2020-06-24,1.0
2020-06-25,1.0
2020-06-26,1.0
2020-06-29,1.0
2020-06-30,1.0
2020-07-01,1.0
2020-07-02,1.0
2020-07-06,1.0
2020-07-07,1.0
2020-07-08,1.0
2020-07-09,1.0
2020-07-10,1.0
2020-07-13,1.0
2020-07-14,1.0
2020-07-15,1.0
2020-07-16,1.0
2020-07-17,1.0
2020-07-20,1.0
2020-07-21,1.0
2020-07-22,1.0
2020-07-23,1.0
2020-07-24,1.0
2020-07-27,1.0
2020-07-28,1.0
2020-07-29,1.0
2020-07-30,1.0
2020-07-31,1.0
2020-08-03,1.0
2020-08-04,1.0
2020-08-05,1.0
2020-08-06,1.0
2020-08-07,1.0
2020-08-10,1.0
2020-08-11,1.0
2020-08-12,1.0
2020-08-13,1.0
2020-08-14,1.0
2020-08-17,1.0
2020-08-18,1.0
2020-08-19,1.0
2020-08-20,1.0
2020-08-21,1.0
2020-08-24,1.0
2020-08-25,1.0
2020-08-26,1.0
2020-08-27,1.0
2020-08-28,1.0
2020-08-31,1.0
2020-09-01,1.0
2020-09-02,1.0
2020-09-03,1.0
2020-09-04,1.0
2020-09-08,1.0
2020-09-09,1.0
2020-09-10,1.0
2020-09-11,1.0
2020-09-14,1.0
2020-09-15,1.0
2020-09-16,1.0
2020-09-17,1.0
2020-09-18,1.0
2020-09-21,1.0
2020-09-22,1.0
2020-09-23,1.0
2020-09-24,1.0
2020-09-25,1.0
2020-09-28,1.0
2020-09-29,1.0
2020-09-30,1.0
2020-10-01,1.0
2020-10-02,1.0
2020-10-05,1.0
2020-10-06,1.0
2020-10-07,1.0
2020-10-08,1.0
2020-10-09,1.0
2020-10-12,1.0
2020-10-13,1.0
2020-10-14,1.0
2020-10-15,1.0
2020-10-16,1.0
2020-10-19,1.0
2020-10-20,1.0
2020-10-21,1.0
2020-10-22,1.0
2020-10-23,1.0
2020-10-26,1.0
2020-10-27,1.0
2020-10-28,1.0
2020-10-29,1.0
2020-10-30,1.0
2020-11-02,1.0
2020-11-03,1.0
2020-11-04,1.0
2020-11-05,1.0
2020-11-06,1.0
2020-11-09,1.0
2020-11-10,1.0
2020-11-11,1.0
2020-11-12,1.0
2020-11-13,1.0
2020-11-16,1.0
2020-11-17,1.0
2020-11-18,1.0
2020-11-19,1.0
2020-11-20,1.0
2020-11-23,1.0
2020-11-24,1.0
2020-11-25,1.0
2020-11-27,1.0
2020-11-30,1.0
2020-12-01,1.0
2020-12-02,1.0
2020-12-03,1.0
2020-12-04,1.0
2020-12-07,1.0
2020-12-08,1.0
2020-12-09,1.0
2020-12-10,1.0
2020-12-11,1.0
2020-12-14,1.0
2020-12-15,1.0
2020-12-16,1.0
2020-12-17,1.0
2020-12-18,1.0
2020-12-21,1.0
2020-12-22,1.0
2020-12-23,1.0
2020-12-24,1.0
2020-12-28,1.0
2020-12-29,1.0
2020-12-30,1.0
2020-12-31,1.0
2021-01-04,1.0
2021-01-05,1.0
2021-01-06,1.0005166569558002
2021-01-07,1.0004666311229524
2021-01-08,1.0017722448002544
2021-01-11,1.0017221561880143
2021-01-12,1.0007037444737354
2021-01-13,1.0006818087882785
2021-01-14,1.0018819808545725
2021-01-15,1.00312391964125
2021-01-19,1.0041199865055257
2021-01-20,1.0006206091534218
2021-01-21,0.9970031683517835
2021-01-22,0.9934619843161816
2021-01-25,0.9944076857924335
2021-01-26,0.9933001759059982
2021-01-27,0.9872533793246117
2021-01-28,0.9847114374560791
2021-01-29,0.979798054720806
2021-02-01,0.9803781743629579
2021-02-02,0.9824712355691149
2021-02-03,0.9735804797678188
2021-02-04,0.9753731066974956
2021-02-05,0.9753818848403041
2021-02-08,0.9812024089597816
2021-02-09,0.9815270322436745
2021-02-10,0.9858446055057413
2021-02-11,0.985977307316113
2021-02-12,0.9913204583097865
2021-02-16,1.0022268468186477
2021-02-17,1.005713302889653
2021-02-18,0.9992764060969864
2021-02-19,1.0007705283679238
2021-02-22,0.9986808799103373
2021-02-23,1.0034442238054802
2021-02-24,1.009002038744779
2021-02-25,1.0153448985947746
2021-02-26,0.9979682076724589
2021-03-01,1.001928490437905
2021-03-02,1.0006639779374733
2021-03-03,1.00675029585253
2021-03-04,1.012157044379483
2021-03-05,1.024047580867569
2021-03-08,1.0176227034861514
2021-03-09,1.0193267876528154
2021-03-10,1.0212444305765893
2021-03-11,1.0221664021209893
2021-03-12,1.007629165735827
2021-03-15,1.0074314919045486
2021-03-16,1.0092610012008123
2021-03-17,1.0129160109455697
2021-03-18,1.014372851132541
2021-03-19,1.0130994244988965
2021-03-22,1.0172407672384516
2021-03-23,1.0206191552802077
2021-03-24,1.0152871487111843
2021-03-25,1.0191485041278818
2021-03-26,1.0156177922510239
2021-03-29,1.0145329420601161
2021-03-30,1.0135904776332278
2021-03-31,1.0242076631829595
2021-04-01,1.0263336285352744
2021-04-05,1.0239770462530884
2021-04-06,1.0233462729013922
2021-04-07,1.0238404070006675
2021-04-08,1.026804949770611
2021-04-09,1.0197878827901663
2021-04-12,1.027040870717819
2021-04-13,1.0236343018159324
2021-04-14,1.0253795779174126
2021-04-15,1.0216337102594342
2021-04-16,1.0281410313496833
2021-04-19,1.0246531024257768
2021-04-20,1.0227922878095597
2021-04-21,1.0232220820304048
2021-04-22,1.0233819930426267
2021-04-23,1.0231316751346617
2021-04-26,1.0235465830136217
2021-04-27,1.0166093918633061
2021-04-28,1.012794824394264
2021-04-29,1.0168946068121496
2021-04-30,1.0140012390035227
2021-05-03,1.0198497559413615
2021-05-04,1.0190050588023096
2021-05-05,1.019048281334202
2021-05-06,1.0196194059193773
2021-05-07,1.0201180399849075
2021-05-10,1.0204819021034524
2021-05-11,1.019025391607141
2021-05-12,1.0187020423940762
2021-05-13,1.019222778185011
2021-05-14,1.0178417700079962
2021-05-17,1.0192060436323722
2021-05-18,1.0211198039766654
2021-05-19,1.0174479956233884
2021-05-20,1.0222566069756116
2021-05-21,1.0271470099231423
2021-05-24,1.0298801382605467
2021-05-25,1.0296125603142847
2021-05-26,1.0315217403168193
2021-05-27,1.0350455251845327
2021-05-28,1.03169007795565
2021-06-01,1.0282441855377427
2021-06-02,1.0311873037578296
2021-06-03,1.032039315252562
2021-06-04,1.0382123171069755
2021-06-07,1.032212763904013
2021-06-08,1.0324071619201707
2021-06-09,1.0393501134579777
2021-06-10,1.0370721172265833
2021-06-11,1.0318381481085297
2021-06-14,1.0320086252084244
2021-06-15,1.027918239196893
2021-06-16,1.028471097319914
2021-06-17,1.030763184068829
2021-06-18,1.0301130893165076
2021-06-21,1.0298316357179538
2021-06-22,1.029606559642999
2021-06-23,1.028832046071812
2021-06-24,1.0292449892645028
2021-06-25,1.0292877548152062
2021-06-28,1.028713251737505
2021-06-29,1.0267185563017562
2021-06-30,1.0268172424982107
2021-07-01,1.026989627833835
2021-07-02,1.0283947643571678
2021-07-06,1.0313091672330168
2021-07-07,1.031237124077626
2021-07-08,1.036898876636169
2021-07-09,1.0358759137940143
2021-07-12,1.033126421979493
2021-07-13,1.0427629603493225
2021-07-14,1.0431522847966221
2021-07-15,1.0363304103922781
2021-07-16,1.0292869992418778
2021-07-19,1.0383624217359455
2021-07-20,1.0318322190005744
2021-07-21,1.028109473356716
2021-07-22,1.0279308857525193
2021-07-23,1.0305185255956328
2021-07-26,1.027315308751258
2021-07-27,1.0216244693590935
2021-07-28,1.0234500480456934
2021-07-29,1.0270631199586373
2021-07-30,1.026028176960579
2021-08-02,1.0283723121450368
2021-08-03,1.0280338854423303
2021-08-04,1.023018535141592
2021-08-05,1.0206864511232552
2021-08-06,1.0216749363168849
2021-08-09,1.0226559688686172
2021-08-10,1.0225541795337294
2021-08-11,1.0236592443063888
2021-08-12,1.0227298790307366
2021-08-13,1.0249508388917177
2021-08-16,1.0246450828541134
2021-08-17,1.0186871686021988
2021-08-18,1.0130480848862826
2021-08-19,1.0113847961973341
2021-08-20,1.0123258154924573
2021-08-23,1.0129395187189765
2021-08-24,1.0108916718661392
2021-08-25,1.0121476379498668
2021-08-26,1.0146163685926286
2021-08-27,1.0234968368990136
2021-08-30,1.0225371769166463
2021-08-31,1.0229097928947641
2021-09-01,1.0239049055826364
2021-09-02,1.0233659918938554
2021-09-03,1.0214546370972315
2021-09-07,1.0203123077351113
2021-09-08,1.021176000336999
2021-09-09,1.0126223867741966
2021-09-10,1.012300497090417
2021-09-13,1.0026887222037473
2021-09-14,0.9993894475875812
2021-09-15,0.998997407802401
2021-09-16,0.9989793459418433
2021-09-17,0.9997145160974372
2021-09-20,0.9987505237680665
2021-09-21,0.9967278274262362
2021-09-22,0.9950148798216092
2021-09-23,0.9943611486396826
2021-09-24,0.9910030780055451
2021-09-27,0.9848578977486988
2021-09-28,0.9824992276735016
2021-09-29,0.9834757771269781
2021-09-30,0.9884935974468645
2021-10-01,0.9887789364782458
2021-10-04,0.9881067227095315
2021-10-05,0.9854119154416934
2021-10-06,0.9863426679513514
2021-10-07,0.9855372497137916
2021-10-08,0.9859727406997939
2021-10-11,0.9846374671199954
2021-10-12,0.9829683410425142
2021-10-13,0.9828201013165416
2021-10-14,0.9824574492987758
2021-10-15,0.982292216487932
2021-10-18,0.9786515776729551
2021-10-19,0.9768837282103072
2021-10-20,0.9796454756803843
2021-10-21,0.9796854630852138
2021-10-22,0.9781201701148722
2021-10-25,0.979025516693658
2021-10-26,1.0011819007579836
2021-10-27,0.9904990773548517
2021-10-28,1.0024551923115719
2021-10-29,1.0022369389708958
2021-11-01,1.0017058224572826
2021-11-02,1.0037654508033895
2021-11-03,0.9982426077919224
2021-11-04,1.0005943349968036
2021-11-05,0.9964318276746448
2021-11-08,0.9991947500970403
2021-11-09,0.9972796246584914
2021-11-10,0.9946539091366945
2021-11-11,0.995366002834596
2021-11-12,0.9963599478042822
2021-11-15,0.9945818265324338
2021-11-16,1.0024449429851547
2021-11-17,1.0135700618232597
2021-11-18,1.019440755139549
2021-11-19,1.0258057216601233
2021-11-22,1.0302928768756896
2021-11-23,1.0316335960439014
2021-11-24,1.0278562467279386
2021-11-26,1.0282636231332778
2021-11-29,1.0537235863575056
2021-11-30,1.0528472109826297
2021-12-01,1.050561156013103
2021-12-02,1.0529592379844714
2021-12-03,1.054081464868207
2021-12-06,1.0549967139646736
2021-12-07,1.0573845437153309
2021-12-08,1.0576608086445307
2021-12-09,1.0574514510694315
2021-12-10,1.051261380261423
2021-12-13,1.0641727169428377
2021-12-14,1.069116516569616
2021-12-15,1.0637021400835815
2021-12-16,1.0620448829869877
2021-12-17,1.0641113311634045
2021-12-20,1.0627336991728826
2021-12-21,1.0623363759975681
2021-12-22,1.0622484261891305
2021-12-23,1.0622260401169616
2021-12-27,1.0619856222993167
2021-12-28,1.0613859909355614
2021-12-29,1.0618703385333543
2021-12-30,1.0618172450164276
